,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Weather
0,saint-philippe,56,re,1554526511,78,-21.36,55.77,76.93,19.46,Clouds
1,mangochi,48,mw,1554526541,76,-14.48,35.26,73.94,3.6,Clouds
2,ushuaia,40,ar,1554523200,94,-54.81,-68.31,37.4,24.16,Clouds
3,rikitea,80,pf,1554526542,100,-23.12,-134.97,77.54,16.02,Clouds
4,bredasdorp,0,za,1554525986,93,-34.53,20.04,55.06,3.36,Clear
5,emerald,75,au,1554526275,37,-23.53,148.16,83.59,9.17,Clouds
6,bull savanna,80,jm,1554526545,88,17.89,-77.59,67.82,3.04,Clouds
7,yellowknife,20,ca,1554525127,71,62.45,-114.38,8.28,3.36,Clouds
8,wielun,44,pl,1554526059,70,51.22,18.57,43.0,10.98,Clouds
9,hilo,75,us,1554526533,73,19.71,-155.08,71.15,6.93,Clouds
10,karratha,0,au,1554526547,9,-20.74,116.85,104.9,11.43,Clear
11,new norfolk,40,au,1554526178,37,-42.78,147.06,63.9,10.29,Clouds
12,tomball,90,us,1554526429,94,30.1,-95.62,71.44,9.17,Mist
13,zemio,68,cf,1554526549,85,5.02,25.13,74.84,2.59,Clouds
14,bowen,40,au,1554526312,88,-20.01,148.25,78.44,11.41,Clouds
15,bethel,1,us,1554522960,65,60.79,-161.76,32.45,20.8,Clear
16,ibra,36,om,1554526552,32,22.69,58.55,87.98,1.92,Clouds
17,bambous virieux,75,mu,1554526441,83,-20.34,57.76,78.91,14.99,Rain
18,rexburg,90,us,1554526514,70,43.82,-111.79,43.39,12.75,Rain
19,fayaoue,8,nc,1554526555,100,-20.65,166.53,79.97,15.79,Clear
20,jiazi,75,cn,1554523200,70,19.61,110.49,84.2,6.71,Clouds
21,albany,12,au,1554526557,66,-35.02,117.88,68.36,10.65,Clouds
22,wum,0,cm,1554526557,93,6.39,10.08,64.94,2.59,Clear
23,shingu,0,jp,1554523200,35,33.72,135.99,69.8,12.75,Clear
24,zhengjiatun,36,cn,1554526373,35,43.51,123.51,48.65,19.37,Clouds
25,barrow,90,us,1554526511,87,39.51,-90.4,51.69,4.7,Clouds
26,port elizabeth,75,za,1554523200,87,-33.92,25.57,60.8,5.82,Clouds
27,kapaa,1,us,1554526398,61,22.08,-159.32,75.29,4.7,Clear
28,atuona,92,pf,1554526562,99,-9.8,-139.03,82.58,13.78,Clouds
29,tungor,92,ru,1554526563,97,53.39,142.95,33.71,10.65,Clouds
30,hobart,40,au,1554526178,37,-42.88,147.33,63.84,10.29,Clouds
31,sarakhs,40,ir,1554523200,72,36.54,61.16,66.2,4.7,Clouds
32,san cristobal,80,ec,1554526565,100,-1.02,-79.44,60.71,1.59,Rain
33,lebu,0,cl,1554526566,100,-37.62,-73.65,53.69,15.9,Clear
34,nikolskoye,0,ru,1554526536,64,59.7,30.79,36.36,2.24,Clear
35,vaini,75,to,1554523200,83,-21.2,-175.2,82.4,5.82,Drizzle
36,valleyview,76,ca,1554526569,85,55.07,-117.28,37.04,9.53,Clouds
37,peniche,20,pt,1554526542,81,39.36,-9.38,50.47,8.05,Rain
38,east london,20,za,1554523200,93,-33.02,27.91,59.0,5.82,Clouds
39,grand-santi,88,gf,1554526572,97,4.27,-54.38,73.76,2.93,Rain
40,tuatapere,0,nz,1554526207,51,-46.13,167.69,57.99,3.71,Clear
41,upernavik,20,gl,1554526573,96,72.79,-56.15,17.69,6.06,Clouds
42,pak phanang,40,th,1554523200,66,8.35,100.2,89.6,8.05,Clouds
43,itapicuru,76,br,1554526574,99,-11.31,-38.22,70.79,3.38,Rain
44,tete,75,mz,1554523200,94,-16.16,33.59,71.6,2.24,Clouds
45,sao filipe,8,cv,1554526576,100,14.9,-24.5,69.71,18.25,Clear
46,atambua,92,id,1554526577,100,-9.11,124.89,77.27,17.36,Rain
47,uray,0,ru,1554526578,70,60.13,64.8,33.71,6.17,Clear
48,ribeira grande,92,pt,1554526579,97,38.52,-28.7,61.16,21.5,Clouds
49,hambantota,20,lk,1554523800,66,6.12,81.12,89.6,4.7,Clouds
50,omis,0,hr,1554525000,61,43.44,16.69,46.4,6.93,Clear
51,gornyy,88,ru,1554526581,100,51.76,48.54,39.02,9.75,Rain
52,castro,90,cl,1554523200,87,-42.48,-73.76,50.0,6.93,Clouds
53,ponta do sol,75,cv,1554523200,72,17.2,-25.09,68.0,18.34,Clouds
54,asyut,0,eg,1554523200,58,27.18,31.19,55.4,13.87,Clear
55,tasiilaq,76,gl,1554522600,58,65.61,-37.64,30.2,29.97,Snow
56,chuy,80,uy,1554526585,81,-33.69,-53.46,64.58,8.41,Clouds
57,kidal,0,ml,1554526586,26,18.44,1.41,74.12,11.1,Clear
58,pevek,24,ru,1554526587,84,69.7,170.27,9.32,10.2,Clouds
59,punta arenas,75,cl,1554525149,100,-53.16,-70.91,37.87,19.46,Clouds
60,isangel,40,vu,1554523200,62,-19.55,169.27,84.2,19.46,Clouds
61,mayumba,12,ga,1554526589,100,-3.44,10.65,78.26,4.38,Clouds
62,amahai,36,id,1554526591,100,-3.31,129.0,84.11,1.7,Rain
63,bluff,0,nz,1554526207,51,-46.6,168.33,57.99,11.88,Clear
64,kabansk,20,ru,1554525000,19,52.06,106.65,37.4,6.71,Clouds
65,hithadhoo,0,mv,1554526507,100,-0.6,73.08,84.02,4.83,Clear
66,usinsk,44,ru,1554526593,92,66.0,57.56,26.15,12.77,Clouds
67,litovko,80,ru,1554526594,36,49.24,135.18,42.71,3.38,Clouds
68,saskylakh,0,ru,1554526595,91,71.97,114.09,18.86,14.45,Clear
69,severo-kurilsk,92,ru,1554526596,97,50.68,156.12,32.72,18.81,Clouds
70,puerto ayora,44,ec,1554523251,96,-0.74,-90.35,75.0,6.73,Clouds
71,chokurdakh,36,ru,1554526598,93,70.62,147.9,21.02,7.63,Clouds
72,hirara,40,jp,1554523200,69,24.8,125.28,76.14,5.82,Clouds
73,oranjemund,0,na,1554526506,94,-28.55,16.43,59.18,18.37,Clear
74,oktyabrskoye,0,ru,1554526517,28,56.73,85.44,43.65,13.42,Clear
75,kaitangata,0,nz,1554526555,51,-46.28,169.85,53.01,11.01,Clear
76,sola,88,vu,1554526601,100,-13.88,167.55,81.23,0.69,Rain
77,atar,8,mr,1554526602,53,20.52,-13.05,51.26,6.51,Clear
78,kutum,0,sd,1554526602,19,14.2,24.66,69.26,9.53,Clear
79,yar-sale,36,ru,1554526604,88,66.83,70.83,23.09,18.14,Clouds
80,oriximina,24,br,1554526605,95,-1.77,-55.87,76.28,2.59,Clouds
81,hermanus,0,za,1554526067,82,-34.42,19.24,57.34,8.99,Clear
